[2025-10-04 23:02:59,391] [watcher] Network available. Starting supervisor.
[2025-10-04 23:02:59,401] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:02,964] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:03,055] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:03,064] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:06,639] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:06,819] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:06,827] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:10,402] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:10,516] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:10,525] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:14,093] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:14,188] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:14,197] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:17,770] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:17,874] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:17,882] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:21,432] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:21,579] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:21,588] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:25,137] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:25,236] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:25,244] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:28,821] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:28,888] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:28,897] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:32,488] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:32,569] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:32,580] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:36,162] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:36,256] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:36,267] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:39,865] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:39,973] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:39,984] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:43,594] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:43,680] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:43,686] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:47,296] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:47,392] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:47,401] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:51,015] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:51,126] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:51,137] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:54,774] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:54,891] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:54,901] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:03:58,482] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:03:58,576] [watcher] Network available. Starting supervisor.
[2025-10-04 23:03:58,586] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:04:02,244] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:04:02,345] [watcher] Network available. Starting supervisor.
[2025-10-04 23:04:02,356] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:04:05,941] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:04:06,018] [watcher] Network available. Starting supervisor.
[2025-10-04 23:04:06,030] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:04:09,657] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:04:09,772] [watcher] Network available. Starting supervisor.
[2025-10-04 23:04:09,784] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:04:13,272] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:04:13,382] [watcher] Network available. Starting supervisor.
[2025-10-04 23:04:13,393] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:06:02,651] [watcher] Watcher started. Control file: C:\AttendanceAutomation\control.txt
[2025-10-04 23:06:22,444] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:06:22,650] [watcher] Network available. Starting supervisor.
[2025-10-04 23:06:22,659] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:06:44,379] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:06:44,522] [watcher] Network available. Starting supervisor.
[2025-10-04 23:06:44,530] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:07:05,772] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:07:05,926] [watcher] Network available. Starting supervisor.
[2025-10-04 23:07:05,939] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:07:22,990] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:07:23,116] [watcher] Network available. Starting supervisor.
[2025-10-04 23:07:23,126] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:07:44,736] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:07:44,811] [watcher] Network available. Starting supervisor.
[2025-10-04 23:07:44,819] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:08:03,915] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:08:04,035] [watcher] Network available. Starting supervisor.
[2025-10-04 23:08:04,043] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:08:23,953] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:08:24,016] [watcher] Network available. Starting supervisor.
[2025-10-04 23:08:24,024] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:08:44,284] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:08:44,331] [watcher] Network available. Starting supervisor.
[2025-10-04 23:08:44,340] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:09:54,207] [watcher] Watcher started. Control file: C:\AttendanceAutomation\control.txt
[2025-10-04 23:09:54,625] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:09:54,690] [watcher] Network available. Starting supervisor.
[2025-10-04 23:09:54,698] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:09:58,122] [watcher] Watcher started. Control file: C:\AttendanceAutomation\control.txt
[2025-10-04 23:09:58,191] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:09:58,259] [watcher] Network available. Starting supervisor.
[2025-10-04 23:09:58,266] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:01,697] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:01,788] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:01,794] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:04,319] [watcher] Watcher started. Control file: C:\AttendanceAutomation\control.txt
[2025-10-04 23:10:05,233] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:05,312] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:05,317] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:08,728] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:08,827] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:08,832] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:10,484] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:10,601] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:10,608] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:12,229] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:12,320] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:12,327] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:15,734] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:15,810] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:15,814] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:15,870] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:15,952] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:15,959] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:19,245] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:19,318] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:19,325] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:22,756] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:22,831] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:22,836] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:24,310] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:24,427] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:24,433] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:26,242] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:26,339] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:26,344] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:29,384] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:29,578] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:29,583] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:29,813] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:30,037] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:30,043] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:33,474] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:33,629] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:33,636] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:37,057] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:37,231] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:37,236] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:38,957] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:39,396] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:39,403] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:40,707] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:41,427] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:41,436] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:44,938] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:44,987] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:44,994] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:45,721] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:45,863] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:45,872] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:48,419] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:48,453] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:48,496] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:48,501] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:48,506] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:48,513] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:52,068] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:52,169] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:52,176] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:55,657] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:55,788] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:55,795] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:10:59,280] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:10:59,427] [watcher] Network available. Starting supervisor.
[2025-10-04 23:10:59,434] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:02,914] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:03,194] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:03,202] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:05,801] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:05,977] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:05,984] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:06,652] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:06,869] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:06,877] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:08,767] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:08,960] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:08,970] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:10,356] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:10,493] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:10,501] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:13,988] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:14,115] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:14,123] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:17,595] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:17,676] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:17,684] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:21,174] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:21,279] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:21,288] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:23,768] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:23,882] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:23,890] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:24,422] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:24,519] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:24,526] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:24,765] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:24,885] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:24,892] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:28,407] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:28,514] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:28,521] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:28,625] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:28,743] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:28,751] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:29,238] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:29,379] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:29,389] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:32,082] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:32,188] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:32,196] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:34,907] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:35,024] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:35,031] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:35,639] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:35,718] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:35,725] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:35,768] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:35,860] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:35,868] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:39,190] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:39,434] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:39,441] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:42,907] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:43,036] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:43,044] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:46,536] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:46,622] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:46,630] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:50,070] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:50,265] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:50,274] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:52,841] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:52,917] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:52,925] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:53,583] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:53,720] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:53,737] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:53,743] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:53,783] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:53,791] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:11:57,250] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:11:57,343] [watcher] Network available. Starting supervisor.
[2025-10-04 23:11:57,350] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:00,774] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:12:00,868] [watcher] Network available. Starting supervisor.
[2025-10-04 23:12:00,876] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:04,338] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:12:04,408] [watcher] Network available. Starting supervisor.
[2025-10-04 23:12:04,415] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:07,851] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
[2025-10-04 23:12:07,969] [watcher] Network available. Starting supervisor.
[2025-10-04 23:12:07,977] [watcher] Launched supervisor via D:\pythonw.exe
[2025-10-04 23:12:10,837] [watcher] Supervisor not running. Waiting for network (will try 30 times)...
